feature,importance
ip_kurtosis,0.43676578998565674
ip_skewness,0.3520330786705017
dm_std,0.06783138960599899
ip_std,0.041241470724344254
ip_mean,0.029843399301171303
dm_mean,0.025081142783164978
dm_skewness,0.02366778813302517
dm_kurtosis,0.02353597804903984
