model,roc_auc,recall,f1_score,is_best
logistic_regression,0.9746019335193352,0.7774390243902439,0.85,False
random_forest,0.9738163006630067,0.8475609756097561,0.8701095461658842,False
gradient_boosting,0.9742086483364834,0.8048780487804879,0.8655737704918033,False
xgboost,0.9778625911259111,0.8201219512195121,0.8747967479674796,True
